Frame: 2
Frame: 50
 1.000530e+00 -9.512414e-03 -4.323428e+00
 1.858066e-03 1.002266e+00 2.425723e-01
 0 0 1
Frame: 51
 1.001172e+00 -8.867694e-03 -4.640556e+00
 1.447250e-03 1.003051e+00 3.011009e-01
 0 0 1
Frame: 52
 1.001310e+00 -4.973602e-03 -6.542684e+00
 -1.344558e-03 1.002832e+00 2.154530e+00
 0 0 1
Frame: 53
 1.000424e+00 -3.090439e-03 -6.120259e+00
 -1.978552e-03 1.002551e+00 1.848913e+00
 0 0 1
Frame: 54
 1.000933e+00 -4.650207e-03 -6.272604e+00
 -7.341934e-04 1.002640e+00 1.644885e+00
 0 0 1
Frame: 55
 1.001078e+00 -4.870464e-03 -5.964668e+00
 -1.179131e-03 1.002626e+00 1.303651e+00
 0 0 1
Frame: 56
 1.001310e+00 -4.715426e-03 -6.658979e+00
 -1.920382e-03 1.002523e+00 2.306493e+00
 0 0 1
Frame: 57
 1.000470e+00 -3.463378e-03 -5.944419e+00
 -1.860090e-03 1.002899e+00 1.888250e+00
 0 0 1
Frame: 58
 1.001018e+00 -3.905326e-03 -6.762391e+00
 -1.113650e-03 1.003106e+00 1.615949e+00
 0 0 1
Frame: 59
 1.000793e+00 -5.860137e-03 -5.195486e+00
 -5.067982e-05 1.003389e+00 1.151490e+00
 0 0 1
Frame: 60
 1.001082e+00 -8.087197e-03 -4.669622e+00
 1.072625e-03 1.003367e+00 5.107417e-01
 0 0 1
Frame: 61
 1.000225e+00 -7.217618e-03 -4.350001e+00
 1.208590e-03 1.001864e+00 7.829272e-01
 0 0 1
Frame: 62
 1.000711e+00 -1.034316e-02 -4.377188e+00
 2.661699e-03 1.002860e+00 -4.335873e-01
 0 0 1
Frame: 63
 1.001151e+00 -1.000873e-02 -4.979402e+00
 2.796290e-03 1.003027e+00 -4.370159e-01
 0 0 1
Frame: 64
 1.000782e+00 -8.273105e-03 -5.115752e+00
 1.594374e-03 1.002862e+00 2.213441e-01
 0 0 1
Frame: 65
 1.000889e+00 -1.016757e-02 -5.629329e+00
 2.447543e-03 1.003120e+00 -1.779358e-01
 0 0 1
Frame: 66
 1.001120e+00 -6.168865e-03 -6.230839e+00
 2.879506e-04 1.002500e+00 8.998307e-01
 0 0 1
Frame: 67
 1.000910e+00 -6.325034e-03 -5.153046e+00
 5.829300e-04 1.002842e+00 7.075589e-01
 0 0 1
Frame: 68
 1.001035e+00 -1.042587e-02 -5.059894e+00
 1.726014e-03 1.003703e+00 2.599399e-01
 0 0 1
Frame: 69
 1.001536e+00 -7.306724e-03 -5.244883e+00
 2.281642e-03 1.002672e+00 1.540784e-01
 0 0 1
Frame: 70
 1.001031e+00 -6.149767e-03 -5.223410e+00
 0 1.002153e+00 1.342949e+00
 0 0 1
Frame: 71
 1.000929e+00 -6.228076e-03 -5.185396e+00
 -7.342489e-04 1.002421e+00 1.631444e+00
 0 0 1
Frame: 72
 1.000805e+00 -4.502290e-03 -5.540254e+00
 -1.797939e-03 1.002161e+00 2.054716e+00
 0 0 1
Frame: 73
 1.000809e+00 -5.060697e-03 -6.701275e+00
 -1.862802e-03 1.002864e+00 1.717457e+00
 0 0 1
Frame: 74
 1.000915e+00 -5.641151e-03 -5.997776e+00
 -4.980275e-04 1.002909e+00 1.731269e+00
 0 0 1
Frame: 75
 1.001021e+00 -5.104290e-03 -6.398279e+00
 2.074820e-04 1.003424e+00 9.895640e-01
 0 0 1
Frame: 76
 1.001868e+00 -7.635329e-03 -5.707266e+00
 1.085456e-03 1.002940e+00 9.286067e-01
 0 0 1
Frame: 77
 1.001238e+00 -4.081904e-03 -6.931119e+00
 -2.114864e-03 1.002402e+00 2.548019e+00
 0 0 1
Frame: 78
 1.000656e+00 -1.928460e-03 -6.737752e+00
 -3.819471e-03 1.003045e+00 3.057544e+00
 0 0 1
Frame: 79
 1.000493e+00 -1.629295e-03 -6.400754e+00
 -3.736197e-03 1.001564e+00 3.509101e+00
 0 0 1
Frame: 80
 1.000401e+00 -3.045093e-03 -6.429115e+00
 -2.157043e-03 1.003801e+00 2.282009e+00
 0 0 1
Frame: 81
 1.000699e+00 -6.849164e-03 -6.090195e+00
 -7.818688e-04 1.002159e+00 1.938953e+00
 0 0 1
Frame: 82
 1.001067e+00 -4.986916e-03 -6.182081e+00
 3.144516e-04 1.003372e+00 1.322591e+00
 0 0 1
Frame: 83
 1.001065e+00 -7.307976e-03 -5.689665e+00
 2.272596e-04 1.002542e+00 1.418592e+00
 0 0 1
Frame: 84
 1.001286e+00 -5.782119e-03 -5.372843e+00
 1.189533e-03 1.003735e+00 6.100855e-01
 0 0 1
Frame: 85
 1.000897e+00 -9.073846e-03 -4.235449e+00
 1.315617e-03 1.002488e+00 5.041109e-01
 0 0 1
Frame: 86
 1.000651e+00 -6.944176e-03 -5.831541e+00
 7.356331e-04 1.002973e+00 9.492778e-01
 0 0 1
Frame: 87
 1.000400e+00 -9.404881e-03 -4.425129e+00
 1.033468e-03 1.002348e+00 7.886798e-01
 0 0 1
Frame: 88
 1.000706e+00 -7.412615e-03 -5.256525e+00
 8.884265e-04 1.002963e+00 2.321846e-01
 0 0 1
Frame: 89
 1.000924e+00 -6.199362e-03 -5.920008e+00
 4.629563e-05 1.003018e+00 1.370135e+00
 0 0 1
Frame: 90
 1.000302e+00 -6.606001e-03 -5.383827e+00
 -2.454867e-04 1.002095e+00 1.328068e+00
 0 0 1
Frame: 91
 1.000042e+00 -8.262751e-03 -4.276526e+00
 2.766088e-04 1.002152e+00 1.154388e+00
 0 0 1
Frame: 92
 1.000595e+00 -6.673786e-03 -5.504003e+00
 6.191255e-04 1.002589e+00 1.047128e+00
 0 0 1
Frame: 93
 1.000299e+00 -1.065319e-02 -4.703969e+00
 3.858006e-03 1.003137e+00 -9.088489e-01
 0 0 1
Frame: 94
 1.000999e+00 -1.428137e-02 -2.986357e+00
 5.096532e-03 1.003212e+00 -1.231612e+00
 0 0 1
Frame: 95
 1.001069e+00 -1.122648e-02 -5.072804e+00
 3.424421e-03 1.002204e+00 -2.875618e-01
 0 0 1
Frame: 96
 1.001055e+00 -8.892971e-03 -5.092856e+00
 2.311081e-03 1.002626e+00 1.296165e-02
 0 0 1
Frame: 97
 1.000977e+00 -6.086483e-03 -5.815251e+00
 -2.122116e-04 1.002453e+00 1.363078e+00
 0 0 1
Frame: 98
 1.000366e+00 -6.274655e-03 -6.324358e+00
 -6.125272e-04 1.002566e+00 1.180632e+00
 0 0 1
Frame: 99
 1.000537e+00 -7.709235e-03 -4.851358e+00
 1.321196e-03 1.002913e+00 3.047185e-02
 0 0 1
Frame: 100
 1.001575e+00 -8.309551e-03 -4.984626e+00
 9.798486e-04 1.002365e+00 9.323583e-01
 0 0 1
Frame: 101
 1.000752e+00 -3.149719e-03 -6.472052e+00
 -2.387513e-03 1.002095e+00 2.514384e+00
 0 0 1
Frame: 102
 1.000077e+00 -4.086132e-03 -5.810581e+00
 -2.695729e-03 1.002165e+00 2.745735e+00
 0 0 1
Frame: 103
 1.000795e+00 -6.145485e-03 -6.135244e+00
 -1.513502e-03 1.002646e+00 2.011030e+00
 0 0 1
Frame: 104
 1.000692e+00 -4.450461e-03 -6.283633e+00
 -1.002966e-03 1.002021e+00 2.022089e+00
 0 0 1
Frame: 105
 1.000604e+00 -4.284086e-03 -6.958234e+00
 -2.467364e-03 1.002191e+00 2.668346e+00
 0 0 1
Frame: 106
 1.000230e+00 -2.778174e-03 -7.022935e+00
 -2.491996e-03 1.003192e+00 2.609047e+00
 0 0 1
Frame: 107
 1.000038e+00 -7.241784e-03 -5.415795e+00
 6.782297e-04 1.002201e+00 1.081180e+00
 0 0 1
Frame: 108
 1.000545e+00 -1.021169e-02 -4.494617e+00
 2.466703e-03 1.002758e+00 -8.674710e-03
 0 0 1
Frame: 109
 1.001427e+00 -9.098671e-03 -5.284383e+00
 2.497696e-03 1.002746e+00 3.983056e-01
 0 0 1
Frame: 110
 1.000851e+00 -3.796934e-03 -5.978418e+00
 -2.246253e-03 1.001149e+00 2.903074e+00
 0 0 1
Frame: 111
 1.000682e+00 -4.745514e-03 -6.521414e+00
 -1.090222e-03 1.003695e+00 1.634036e+00
 0 0 1
Frame: 112
 1.000832e+00 -6.501515e-03 -5.375708e+00
 7.240883e-04 1.002614e+00 1.132559e+00
 0 0 1
Frame: 113
 1.000834e+00 -1.214748e-02 -4.209869e+00
 3.480336e-03 1.003323e+00 -6.565629e-01
 0 0 1
Frame: 114
 1.001445e+00 -1.062379e-02 -4.741048e+00
 3.519553e-03 1.003404e+00 -5.609651e-01
 0 0 1
Frame: 115
 1.001174e+00 -1.010019e-02 -5.341368e+00
 3.232373e-03 1.002932e+00 -3.561893e-01
 0 0 1
Frame: 116
 1.001405e+00 -9.001982e-03 -4.659218e+00
 2.146430e-03 1.002465e+00 5.829475e-01
 0 0 1
Frame: 117
 1.001040e+00 -1.003353e-02 -4.352667e+00
 2.532931e-03 1.003210e+00 -1.486754e-01
 0 0 1
Frame: 118
 1.001520e+00 -1.136820e-02 -4.294332e+00
 3.859040e-03 1.002346e+00 -4.938491e-01
 0 0 1
Frame: 119
 1.001925e+00 -8.595016e-03 -5.190041e+00
 1.911664e-03 1.002293e+00 7.078780e-01
 0 0 1
Frame: 120
 1.001105e+00 -5.783466e-03 -6.396113e+00
 -6.658255e-04 1.002766e+00 1.498019e+00
 0 0 1
Frame: 121
 1.001302e+00 -3.911882e-03 -5.265320e+00
 -2.010465e-03 1.001828e+00 2.594336e+00
 0 0 1
Frame: 122
 1.000293e+00 -3.622988e-04 -7.067181e+00
 -5.354715e-03 1.001360e+00 3.933875e+00
 0 0 1
Frame: 123
 9.998971e-01 3.590055e-03 -8.046765e+00
 -6.927982e-03 1.001864e+00 4.720641e+00
 0 0 1
Frame: 124
 9.999848e-01 5.895541e-04 -7.053733e+00
 -6.229007e-03 1.001433e+00 4.463655e+00
 0 0 1
Frame: 125
 1.000402e+00 -6.951917e-04 -7.351448e+00
 -5.204257e-03 1.003356e+00 3.817499e+00
 0 0 1
Frame: 126
 1.000622e+00 -1.400040e-03 -6.452764e+00
 -2.954955e-03 1.002812e+00 2.679533e+00
 0 0 1
Frame: 127
 1.001211e+00 -4.862015e-03 -5.822041e+00
 -7.629449e-04 1.003031e+00 1.892367e+00
 0 0 1
Frame: 128
 1.000828e+00 -8.211951e-03 -5.353278e+00
 1.030221e-03 1.002290e+00 7.400078e-01
 0 0 1
Frame: 129
 1.000873e+00 -8.606705e-03 -4.930703e+00
 2.597105e-03 1.002530e+00 -1.939813e-01
 0 0 1
Frame: 130
 1.001645e+00 -7.853153e-03 -4.840778e+00
 1.713529e-03 1.003064e+00 3.856378e-01
 0 0 1
Frame: 131
 1.000812e+00 -7.639210e-03 -5.121569e+00
 6.225161e-05 1.002430e+00 1.303847e+00
 0 0 1
Frame: 132
 1.001171e+00 -6.613437e-03 -6.174349e+00
 6.032793e-04 1.002672e+00 1.168964e+00
 0 0 1
Frame: 133
 1.000418e+00 -8.918498e-03 -3.991056e+00
 2.697197e-03 1.002231e+00 1.244209e-01
 0 0 1
Frame: 134
 1.001453e+00 -1.194938e-02 -2.976816e+00
 4.660046e-03 1.003571e+00 -1.416571e+00
 0 0 1
Frame: 135
 1.001784e+00 -1.304484e-02 -3.618853e+00
 5.443428e-03 1.003463e+00 -1.439303e+00
 0 0 1
Frame: 136
 1.001691e+00 -8.960496e-03 -4.939473e+00
 2.893399e-03 1.001603e+00 -9.660682e-02
 0 0 1
Frame: 137
 1.000877e+00 -5.135171e-03 -5.561149e+00
 -2.159822e-03 1.001942e+00 2.264827e+00
 0 0 1
Frame: 138
 1.000674e+00 -1.726495e-03 -6.600689e+00
 -3.855168e-03 1.001513e+00 3.465767e+00
 0 0 1
Frame: 139
 1.001044e+00 -5.314090e-04 -7.919708e+00
 -4.608126e-03 1.002254e+00 3.709244e+00
 0 0 1
Frame: 140
 1.000677e+00 -7.702540e-04 -6.694527e+00
 -3.081007e-03 1.002759e+00 2.866811e+00
 0 0 1
Frame: 141
 1.001115e+00 -4.488688e-03 -5.708001e+00
 -2.393289e-03 1.002231e+00 2.972174e+00
 0 0 1
Frame: 142
 1.000884e+00 -9.151009e-04 -7.417002e+00
 -3.871785e-03 1.001947e+00 3.383677e+00
 0 0 1
Frame: 143
 1.000789e+00 -9.957202e-04 -7.330643e+00
 -3.883217e-03 1.002718e+00 3.083027e+00
 0 0 1
Frame: 144
 1.001217e+00 -5.389235e-03 -5.501987e+00
 -3.588743e-04 1.002943e+00 1.752976e+00
 0 0 1
Frame: 145
 1.001052e+00 -4.914433e-03 -5.498759e+00
 -1.862832e-04 1.002200e+00 1.255379e+00
 0 0 1
Frame: 146
 1.001266e+00 -7.278333e-03 -4.804082e+00
 1.543566e-03 1.003662e+00 3.364328e-01
 0 0 1
Frame: 147
