Frame: 2
 1.716756e-03 1.003122e+00 2.651561e+02
 0 0 1
Frame: 50
 1.001305e+00 -8.377979e-03 -4.827149e+00
 2.131533e-03 1.003724e+00 -2.641113e+02
 0 0 1
Frame: 51
 1.001589e+00 -7.841283e-03 -7.122626e+00
 1.229608e-03 1.003077e+00 2.654578e+02
 0 0 1
Frame: 52
 1.001601e+00 1.381380e-04 -8.543677e+00
 -1.536614e-03 1.003761e+00 -2.618682e+02
 0 0 1
Frame: 53
 1.001508e+00 -6.050175e-03 -6.670024e+00
 -1.725326e-03 1.003304e+00 2.666062e+02
 0 0 1
Frame: 54
 1.000499e+00 -3.571107e-03 -6.666601e+00
 -6.906573e-04 1.002823e+00 -2.622712e+02
 0 0 1
Frame: 55
 1.001573e+00 -4.801406e-03 -7.256460e+00
 -1.312951e-03 1.003544e+00 2.661436e+02
 0 0 1
Frame: 56
 1.001513e+00 -1.227667e-03 -8.090007e+00
 -1.973232e-03 1.002514e+00 -2.614407e+02
 0 0 1
Frame: 57
 1.001275e+00 -3.208364e-03 -6.920676e+00
 -1.603494e-03 1.004538e+00 2.666125e+02
 0 0 1
Frame: 58
 1.001147e+00 -4.237264e-03 -6.661220e+00
 -9.902141e-04 1.002960e+00 -2.622577e+02
 0 0 1
Frame: 59
 1.001390e+00 -4.461006e-03 -7.062326e+00
 0 1.003794e+00 2.661526e+02
 0 0 1
Frame: 60
 1.001850e+00 -4.851920e-03 -6.000140e+00
 1.169021e-03 1.004438e+00 -2.636982e+02
 0 0 1
Frame: 61
 1.001449e+00 -1.034037e-02 -6.011673e+00
 1.583801e-03 1.002422e+00 2.653390e+02
 0 0 1
Frame: 62
 1.000876e+00 -8.139911e-03 -5.248883e+00
 2.774315e-03 1.003649e+00 -2.645373e+02
 0 0 1
Frame: 63
 1.000562e+00 -1.196156e-02 -7.380069e+00
 2.519479e-03 9.998326e-01 2.647555e+02
 0 0 1
Frame: 64
 1.000758e+00 -7.783562e-03 -5.359058e+00
 1.748005e-03 1.003039e+00 -2.637415e+02
 0 0 1
Frame: 65
 1.001058e+00 -1.069719e-02 -8.230013e+00
 2.456930e-03 1.002232e+00 2.648821e+02
 0 0 1
Frame: 66
 1.000870e+00 -4.795459e-03 -6.733575e+00
 1.833830e-04 1.002839e+00 -2.629987e+02
 0 0 1
Frame: 67
 1.001225e+00 -7.660943e-03 -6.647741e+00
 6.177290e-04 1.002162e+00 2.656494e+02
 0 0 1
Frame: 68
 1.001277e+00 -8.503652e-03 -5.921227e+00
 1.846814e-03 1.004124e+00 -2.638075e+02
 0 0 1
Frame: 69
 1.001693e+00 -7.709399e-03 -7.055048e+00
 2.082912e-03 1.003417e+00 2.650433e+02
 0 0 1
Frame: 70
 1.001043e+00 -5.210335e-03 -5.694749e+00
 0 1.003089e+00 -2.627850e+02
 0 0 1
Frame: 71
 1.001425e+00 -4.316604e-03 -7.066685e+00
 -9.258332e-04 1.002167e+00 2.666406e+02
 0 0 1
Frame: 72
 1.000480e+00 -5.884424e-03 -4.911043e+00
 -1.924827e-03 1.002795e+00 -2.618242e+02
 0 0 1
Frame: 73
 1.001762e+00 -3.970924e-03 -8.276816e+00
 -1.762833e-03 1.004512e+00 2.665559e+02
 0 0 1
Frame: 74
 1.000778e+00 -6.043586e-03 -5.808475e+00
 -3.333401e-04 1.002724e+00 -2.620861e+02
 0 0 1
Frame: 75
 1.001517e+00 -2.703426e-03 -8.127130e+00
